model,num_host,num_vuln,topology,distro_vuln,diversity_vuln,generation_time
TVA,100,100,powerlaw,uniform,0,1.8063942000735551
TVA,100,100,random,uniform,1,135.9952747002244
TVA,100,100,lan0,uniform,0,2.1714075999334455
TVA,100,100,powerlaw,uniform,1,131.38222009991296
TVA,100,100,lan25,uniform,0,2.2171390999574214
TVA,100,100,lan0,uniform,1,191.3007423998788
TVA,100,100,lan50,uniform,0,2.572539099957794
TVA,100,100,lan25,uniform,1,191.90700050001033
TVA,100,150,mesh,uniform,0,9.252425400074571
TVA,100,100,mesh,uniform,1,402.67551229987293
TVA,100,150,random,uniform,0,2.2337152000982314
TVA,100,100,lan50,uniform,1,163.5861072000116
TVA,100,150,star,uniform,0,0.20927270012907684
TVA,100,150,star,uniform,1,15.078371499897912
TVA,100,150,ring,uniform,0,0.287476799916476
TVA,100,150,ring,uniform,1,16.36867090011947
TVA,100,150,tree,uniform,0,0.2942141001112759
TVA,100,150,tree,uniform,1,22.040201399940997
TVA,100,150,powerlaw,uniform,0,2.1310437000356615
TVA,100,150,random,uniform,1,428.415786099853
TVA,100,150,lan0,uniform,0,4.008676300058141
TVA,100,150,powerlaw,uniform,1,358.1806973000057
TVA,100,150,lan25,uniform,0,4.26002709986642
TVA,100,150,mesh,uniform,1,978.926225299947
TVA,100,150,lan50,uniform,0,4.014002399984747
TVA,100,150,lan25,uniform,1,466.8843874000013
TVA,100,200,mesh,uniform,0,12.716648499947041
TVA,100,150,lan0,uniform,1,563.6505426999647
TVA,100,200,random,uniform,0,3.3758560998830944
TVA,100,150,lan50,uniform,1,421.02468019980006
TVA,100,200,star,uniform,0,0.2684196999762207
TVA,100,200,star,uniform,1,27.715954799903557
TVA,100,200,ring,uniform,0,0.40161250019446015
TVA,100,200,ring,uniform,1,27.448719300096855
TVA,100,200,tree,uniform,0,0.3109262001235038
TVA,100,200,tree,uniform,1,41.66308699990623
TVA,100,200,powerlaw,uniform,0,3.504525699885562
TVA,100,200,random,uniform,1,918.0177390999161
TVA,100,200,lan0,uniform,0,7.636950600193813
TVA,100,200,powerlaw,uniform,1,731.0276047000661
TVA,100,200,lan25,uniform,0,8.465684999944642
TVA,100,200,lan0,uniform,1,1253.021426399937
TVA,100,200,lan50,uniform,0,6.284091699868441
TVA,100,200,mesh,uniform,1,2377.3971569000278
TVA,100,200,lan25,uniform,1,1144.3155694999732
TVA,100,200,lan50,uniform,1,555.4072975998279
